name	MarathonRT_DM-treated	SuperScriptIII_DM-treated
ProTGG	36104.95702	65606.31374
SerGCT	21376.64926	3153.580239
ArgCCT	13548.72067	16593.82334
ThrAGT	3266.08151	910.9291428
ArgTCT	8662.981942	22520.81815
LeuAAG	64020.61641	52942.51138
AlaCGC	18675.26362	8723.088799
PheGAA	4001.065111	5666.589491
AlaTGC	20462.78726	13674.14832
GluCTC	151928.2135	44488.8416
ProAGG	14926.09342	30014.35693
ArgCCG	46794.89569	48318.2401
GluTTC	16613.65255	9907.806934
HisGTG	4913.467696	9777.436662
LysCTT	82932.97695	94694.04577
ArgTCG	14715.92464	14755.81209
IleGAT	0	0.326322458
GlnCTG	24908.88505	41297.47813
LysTTT	2075.825338	3583.999561
GlnTTG	7492.750407	18039.36611
SerCGA	2789.083488	578.0802352
AlaAGC	81653.19866	50279.66922
GlyCCC	4636.708675	6691.07885
SerTGA	7999.749294	3297.281384
GlyTCC	9704.476823	13477.44386
ArgACG	24400.56663	40747.72223
ValCAC	8709.293562	22106.99078
ValTAC	1317.457856	3868.389584
SerAGA	7171.580595	2533.611466
AsnGTT	2804.73908	280.1478306
AspGTC	93214.32253	163820.5638
TyrGTA	30490.98988	1422.439596
ValAAC	3533.379256	9822.845972
IleTAT	224.8832896	107.0337664
TrpCCA	23.21803874	14.68451063
MetCAT	17823.49329	36575.03695
CysGCA	7802.057065	3824.825536
ThrCGT	40667.6221	13249.1813
LeuCAG	13732.47486	4818.314261
ThrTGT	958.0426158	284.716345
LeuTAG	27042.52167	22674.07083
GlyGCC	23751.52294	52829.64809
LeuCAA	8600.890272	3026.31448
IleAAT	1114.46586	368.0917332
SupTTA	0	0
SeC(e)TCA	3300.278364	6234.227408
ProCGG	15838.36057	31512.11173
LeuTAA	3272.814741	885.9654748
