name	HL5_SSIII_untreated	HL5_SSIII_DMtreated	HL5_mRT_untreated	HL5_mRT_DMtreated
ProTGG	988.5888727	65606.31374	2997.556878	36104.95702
SerGCT	545.8014949	3153.580239	30151.89545	21376.64926
ArgCCT	6931.005948	16593.82334	10777.7164	13548.72067
ThrAGT	35.25435375	910.9291428	919.5949455	3266.08151
ArgTCT	4498.135045	22520.81815	7535.269171	8662.981942
LeuAAG	6989.255755	52942.51138	39403.02413	64020.61641
AlaCGC	431.3850923	8723.088799	3393.591728	18675.26362
PheGAA	236.2041701	5666.589491	622.0789337	4001.065111
AlaTGC	2584.785118	13674.14832	5641.667261	20462.78726
GluCTC	155580.6943	44488.8416	243082.3405	151928.2135
ProAGG	500.9794489	30014.35693	1556.62611	14926.09342
ArgCCG	9574.441491	48318.2401	11986.87238	46794.89569
GluTTC	29398.57937	9907.806934	21876.8282	16613.65255
HisGTG	1913.990915	9777.436662	1067.239255	4913.467696
LysCTT	285048.4363	94694.04577	97644.75506	82932.97695
ArgTCG	320.494125	14755.81209	1112.741704	14715.92464
GlnCTG	2102.761954	41297.47813	17737.20458	24908.88505
LysTTT	16759.27879	3583.999561	6001.868464	2075.825338
GlnTTG	670.4737095	18039.36611	2751.307161	7492.750407
SerCGA	527.5333298	578.0802352	4481.832113	2789.083488
AlaAGC	6124.322235	50279.66922	17692.81583	81653.19866
GlyCCC	19541.16779	6691.07885	10420.06079	4636.708675
SerTGA	732.9422115	3297.281384	9655.161542	7999.749294
GlyTCC	20342.4031	13477.44386	12986.33526	9704.476823
ArgACG	1799.574512	40747.72223	5964.639188	24400.56663
ValCAC	24143.21334	22106.99078	14435.22133	8709.293562
ValTAC	17311.81066	3868.389584	2665.552546	1317.457856
SerAGA	932.024768	2533.611466	7434.667292	7171.580595
AsnGTT	172.4258393	280.1478306	1509.853985	2804.73908
AspGTC	121873.9804	163820.5638	227208.0461	93214.32253
TyrGTA	135.2485208	1422.439596	320.7445346	30490.98988
ValAAC	11569.44701	9822.845972	6738.05454	3533.379256
IleTAT	42.3052245	107.0337664	148.2807075	224.8832896
TrpCCA	2.243458875	14.68451063	67.77637487	23.21803874
MetCAT	46183.20342	36575.03695	28202.29052	17823.49329
CysGCA	760.5325587	3824.825536	2281.486422	7802.057065
ThrCGT	132.0435795	13249.1813	14990.03401	40667.6221
LeuCAG	2397.616549	4818.314261	18393.8081	13732.47486
ThrTGT	168.5799098	284.716345	1078.058019	958.0426158
LeuTAG	2489.678487	22674.07083	12920.33727	27042.52167
GlyGCC	151179.3222	52829.64809	66438.34832	23751.52294
LeuCAA	715.0223929	3026.31448	14128.98767	8600.890272
IleAAT	92.62280213	368.0917332	2103.613213	1114.46586
SeC(e)TCA	44809.5656	6234.227408	8848.794408	3300.278364
ProCGG	415.1282634	31512.11173	1505.279485	15838.36057
LeuTAA	293.5726185	885.9654748	1119.742081	3272.814741
