name	HB1	HB3	HB4	GBM3	GBM5	GBM4	GBM7	GBM6	GBM9	GBM8	GBM63	GBM62	GBM61	GBM60	GBM26	GBM25	GBM69	GBM24	GBM67	GBM22	GBM66	GBM21	GBM65	GBM20	GBM64	GBM29	GBM30	GBM74	GBM73	GBM72	GBM71	GBM70	GBM38	GBM37	GBM36	GBM35	GBM34	GBM33	GBM77	GBM32	GBM76	GBM31	GBM75	GBM1	GBM39	GBM41	GBM40	GBM82	GBM81	GBM80	GBM49	GBM47	GBM46	GBM45	GBM44	GBM43	GBM42	GBM51	GBM50	GBM16	GBM59	GBM14	GBM13	GBM57	GBM12	GBM56	GBM11	GBM55	GBM10	GBM54	GBM53	GBM19	GBM18	GBM17
group	HB	HB	HB	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM	GBM
chr17.trna35-SerAGA	1194.956291	963.8381675	1148.064279	318.2546412	193.7150277	369.2786585	337.7103389	415.7067435	388.2471175	245.420918	107.3015576	85.52126441	261.870562	159.303052	96.47369252	379.9299537	39.2265528	158.1835166	0.467856394	1345.082481	1.258568309	1046.214222	43.75606449	337.492406	0.506606144	335.289899	362.8617897	20.00117825	0.153529128	0.134081346	0.118931675	0	516.2598619	281.3825067	182.4256646	152.345383	412.5776918	535.1774385	1.147356842	510.6237965	1.023262858	89.49191025	0.127380811	234.2733446	364.5013742	246.7663358	154.7062077	229.8417102	0.215950306	0.265136124	27.13260904	0.292872808	0.161241638	72.65747879	169.3855115	0.54624163	167.1516283	153.9768926	0.383142692	115.6790089	0.083425442	165.9351338	155.2196736	0.163983836	161.6984051	80.51149664	357.4056291	86.91349272	234.1285127	0.723606455	0.406241494	326.4050071	585.2967858	251.6023699
chr11.trna16-ValTAC	359.2644974	270.5203611	426.1103664	420.1429716	214.5823281	185.7204964	183.4789394	359.0132953	654.6216803	168.8850131	72.02601688	47.89769631	64.65453093	70.50426593	25.15541497	151.9719815	24.00665031	40.80352196	57.85824076	487.1552943	211.7299147	641.6584864	34.65982169	479.6901762	95.41082381	123.1785536	271.1748867	37.09309421	4.912932096	15.15119214	33.65766397	17.81500672	140.5104891	77.21787985	43.50867641	28.10898277	45.83001218	272.3477074	62.44899384	239.8267604	164.6174123	17.28040722	16.94164787	271.9459921	94.70315663	61.6559858	30.04439396	67.51433781	36.71155194	11.40085334	14.40835101	46.56677654	13.06057268	24.98913288	365.9438112	26.58375933	49.13523141	76.01214353	18.90170615	242.9422344	10.76188201	38.00907339	465.6590208	11.31488471	174.0015446	47.95170021	218.6890918	68.01251926	349.9464576	181.1428158	11.78100334	284.5730572	736.5372683	317.82766
chr14.trna4-ThrTGT	141.0124013	122.0972146	146.0929731	17.85973607	2.769995629	264.5255712	12.6958774	13.83428641	44.41452453	8.012023095	21.75529861	21.8506107	60.51506401	12.38398284	15.52142626	22.04173777	9.257466461	30.04368911	4.834516074	87.91039831	29.43113584	391.613154	18.97664446	16.0927144	11.14533517	37.82962043	41.63381065	14.00082478	6.448223376	8.849368859	14.03393763	9.599348282	13.84339795	27.2127412	29.05758031	25.85496057	16.13732823	25.54825213	19.17725008	31.4111336	14.70940358	17.62372657	10.06308407	11.42261033	34.47145123	48.84065388	18.6843246	17.97719054	41.67840896	13.12423815	7.484857665	14.79007682	6.44966552	10.49963566	82.28021849	10.01442988	10.56177871	33.3337657	8.556853459	8.484215036	21.94089124	26.2848816	12.36262887	5.575450439	10.95565281	29.00781864	77.95410021	24.78816192	132.376083	11.09529897	8.124829886	15.19845931	78.53120004	78.31509966
chr6.trna64-GlnTTG	332.0698692	266.4616248	460.0135022	10.39378083	16.06597465	29.55190305	8.934135951	10.85042071	17.56315799	6.852388173	12.65986304	75.68125429	99.05152986	21.39051581	7.760713129	13.72774896	2.824311802	19.42359436	18.09044725	83.1945571	1.452194203	117.8175179	27.44556016	10.72847627	16.88687147	0.265471021	21.18698364	6.000353475	1.688820408	15.15119214	47.2158749	3.978108297	16.01878905	18.51018944	24.8621008	16.57369267	26.14247174	8.516084044	49.33634422	15.43003054	26.47692645	3.89095262	0.254761622	9.665285666	4.977826892	29.47526342	4.932661694	19.97465616	67.16054502	7.291243416	3.555307391	0.878618425	9.352015005	8.39970853	137.1336975	24.21671226	7.117720438	30.26538559	6.130283075	29.20527868	1.668508839	58.99915869	17.17031788	0	1.640418602	21.01586861	29.92880633	15.02782316	5.964490628	32.68289153	47.53025484	18.96188733	10.99695553	2.014968259
chr15.trna9-HisGTG	177.6773633	132.6350346	117.1838677	21.2267355	18.09730478	26.54866087	15.42313996	10.98605097	20.37776664	16.44573162	12.04530658	35.59768366	84.76051311	25.47160106	23.95116638	30.93577231	10.51271615	16.06988022	11.69640986	63.08549838	17.23270454	56.17347115	19.60397155	8.910090459	17.56234633	19.77759103	23.40745354	4.363893437	2.763524304	11.39691444	22.59701822	6.313084906	40.5413797	37.02037889	35.58388178	41.63311599	50.77879284	70.13245683	8.195406016	35.26864124	4.60468286	30.09766291	2.547616221	20.97806321	23.76912341	120.6065126	19.28222299	53.26574975	12.09321711	7.026107291	6.362129015	2.78229168	10.31946483	5.879795971	28.18859337	4.552013583	35.58860219	12.1340486	8.301424997	15.17369228	10.3447548	66.8468032	18.0533628	4.263579747	13.65062622	30.78380754	34.31372447	14.09826709	30.89072012	20.86398611	5.179579053	19.97511795	12.290715	29.01554293
chr2.trna27-GlyCCC	3423.525665	2478.75219	3076.322711	1338.162684	816.0407123	386.6974631	738.4298472	915.3686173	1417.155456	810.9010743	413.2277624	258.5896777	637.7735818	212.0757061	132.868761	674.8832078	113.2862845	172.856016	12.00831412	2717.570228	89.06791109	2368.358938	67.59449389	2309.531815	51.16722056	404.7105709	666.7886075	31.63822742	3.8382282	15.55343618	14.03393763	12.02080551	1229.194856	382.9122772	265.8690905	189.3378651	590.8413777	1361.070609	20.1606988	750.0096989	72.39584719	187.4523644	12.35593867	1746.011889	689.4290246	689.7496425	156.9483266	337.4385247	9.933714054	14.44991877	33.49473805	6.150328977	7.094632072	79.79723104	515.521122	7.283221733	393.541059	234.033719	6.513425767	1092.342686	10.9287329	320.9970253	2667.384353	3.935612075	1694.435243	118.9912561	3807.361776	169.0242791	3228.836941	72.48124653	7.007665777	1783.720134	3940.273853	2265.63031
chr14.trna22-ProAGG	867.1871701	611.7707189	663.6433323	26.78960411	12.37264714	241.94119	155.5480091	32.14437136	31.69249342	31.5209856	160.6450581	116.6330611	275.2745501	192.0924611	101.2906869	252.7065901	87.55366585	87.47604365	29.00709645	443.8229421	45.50208501	484.7463674	85.47331594	20.00224389	97.26837967	207.3328671	288.476048	40.91150097	28.09583043	38.88359044	76.82986194	27.76027746	392.3614503	150.7060947	163.4683128	200.2102075	366.5325153	370.700129	83.101417	325.5736444	64.20974433	100.8214488	22.80116518	25.59104046	281.3716651	365.3793523	100.7458782	205.8721228	47.72501752	44.54286887	27.50685192	22.69764265	30.63591122	70.34755894	179.7975145	48.06926344	113.883527	104.1854518	43.29512422	31.6526484	38.54255419	227.8653405	26.78569589	12.95472308	25.83659298	128.3151978	61.04084454	97.75831356	31.95898709	112.7620058	24.37448966	28.37045738	34.414002	40.29936518
chr15.trna1-HisGTG	177.6773633	132.6350346	117.1838677	21.2267355	18.09730478	26.54866087	15.42313996	10.98605097	20.37776664	16.44573162	12.04530658	35.59768366	84.76051311	25.47160106	23.95116638	30.93577231	10.51271615	16.06988022	11.69640986	63.08549838	17.23270454	56.17347115	19.60397155	8.910090459	17.56234633	19.77759103	23.40745354	4.363893437	2.763524304	11.39691444	22.59701822	6.313084906	40.5413797	37.02037889	35.58388178	41.63311599	50.77879284	70.13245683	8.195406016	35.26864124	4.60468286	30.09766291	2.547616221	20.97806321	23.76912341	120.6065126	19.28222299	53.26574975	12.09321711	7.026107291	6.362129015	2.78229168	10.31946483	5.879795971	28.18859337	4.552013583	35.58860219	12.1340486	8.301424997	15.17369228	10.3447548	66.8468032	18.0533628	4.263579747	13.65062622	30.78380754	34.31372447	14.09826709	30.89072012	20.86398611	5.179579053	19.97511795	12.290715	29.01554293
chr5.trna12-ValAAC	471.2142688	338.7183021	609.0606904	501.3901316	395.5553758	214.5516213	187.1466373	481.8943098	447.1850226	263.4479699	125.8611626	35.88709572	84.56339564	55.30574154	28.09913374	154.2921644	51.15142485	37.86902209	44.60230959	341.5870639	239.4184175	315.4253819	28.70021434	568.4274036	76.49752776	148.1328295	211.962356	42.00247433	16.58114582	12.60364656	14.1528693	14.44226273	141.7959475	151.3967734	80.02488696	34.34069121	101.2348391	377.2124285	61.62945324	247.4315612	112.9426379	23.00239637	23.18330761	415.6072836	184.4284864	66.49733341	47.68239638	59.12498222	19.4355275	4.242177987	21.51896579	22.40476984	8.384565176	35.69876125	188.1779071	23.85255118	75.99888596	94.42242417	15.07027923	264.31593	8.175693313	38.86002279	593.1118375	5.903418112	169.431807	46.32371038	435.0117199	54.68888223	411.4608311	104.0787284	10.15603736	359.8416176	1390.791434	264.0951731
